Year,Month,Day,Tx10,RHx10,WSx100,WD,GS*100,DiffS*100,DirS,Rain*100,CI
1989,1,1,0,726.7687012,0,0,0,0,0,0,0
1989,1,1,0,726.7687012,0,0,0,0,0,0,0
1989,1,1,0,724.2635887,0,0,0,0,0,0,0
1989,1,1,0,725.3729873,0,0,0,0,0,0,0
1989,1,1,0,721.4765783,0,0,0,0,0,0,0
1989,1,1,0,717.4919188,0,0,0,0,0,0,0
1989,1,1,0,721.4765783,0,0,0,0,0,0,0
1989,1,1,0,719.4646973,0,0,0,0,0,0,0
1989,1,1,0,724.8610226,0,0,0,0,0,0,0
1989,1,1,0,742.0482413,0,0,0,0,0,0,0
1989,1,1,0,756.4395493,0,0,0,0,0,0,0
1989,1,1,0.184,762.0733394,0,0,0,0,0,0,0
1989,1,1,17.908,682.9075312,0,0,0,0,0,0,0
1989,1,1,36.552,609.2521339,0,0,0,0,0,0,0
1989,1,1,31.932,645.3060809,0,0,0,0,0,0,0
1989,1,1,19.372,705.4791412,0,0,0,0,0,0,0
1989,1,1,1.456,819.0798975,0,0,0,0,0,0,0
1989,1,1,2.464,830.3485059,0,0,0,0,0,0,0
1989,1,1,2.464,840.859241,0,0,0,0,0,0,0
1989,1,1,0,856.0039121,0,0,0,0,0,0,0
1989,1,1,0.448,870.7798012,0,0,0,0,0,0,0
1989,1,1,0,876.8820635,0,0,0,0,0,0,0
1989,1,1,0,885.9764712,0,0,0,0,0,0,0
1989,1,1,0,893.7108971,0,0,0,0,0,0,0
1989,1,2,0,908.9799663,0,0,0,0,0,0,0
1989,1,2,0,916.5273874,0,0,0,0,0,0,0
1989,1,2,0,929.1795175,0,0,0,0,0,0,0
1989,1,2,0,949.9555606,0,0,0,0,0,0,0
1989,1,2,0,955.1355951,0,0,0,0,0,0,0
1989,1,2,1.72,956.1209268,0,0,0,0,0,0,0
1989,1,2,3.744,957.8074962,0,0,0,0,0,0,0
1989,1,2,3.744,968.5693743,0,0,0,0,0,0,0
1989,1,2,0.708,998.2135306,0,0,0,0,0,0,0
1989,1,2,0,997.5860736,0,0,0,0,0,0,0
1989,1,2,30.38,806.0043424,0,0,0,0,0,0,0
1989,1,2,43.32,745.3393167,0,0,0,0,0,0,0
1989,1,2,51.948,702.6286273,0,0,0,0,0,0,0
1989,1,2,48.488,725.6643008,0,0,0,0,0,0,0
1989,1,2,56.104,693.808931,0,0,0,0,0,0,0
1989,1,2,53.968,703.2211733,0,0,0,0,0,0,0
