Hour,Tx10,RHx10
0,200,379
1,200,379
2,200,378
3,200,379
4,200,378
5,200,377
6,200,378
7,200,377
8,200,379
9,200,383
10,200,387
11,200,389
12,200,392
13,200,396
14,200,401
15,200,401
16,200,405
17,200,410
18,200,413
19,200,413
20,200,418
21,200,419
22,200,422
23,200,425
24,200,428
25,200,430
26,200,434
27,200,439
28,200,441
29,200,444
30,200,448
31,200,451
32,200,454
33,200,453
34,200,453
35,200,456
36,200,456
37,200,458
38,200,460
39,200,459
40,200,461
41,200,461
42,200,464
43,200,462
44,200,463
45,200,464
46,200,467
47,200,465
48,200,468
49,200,467
50,200,466
51,200,469
52,200,468
53,200,466
54,200,468
55,200,470
56,200,468
57,200,463
58,200,461
59,200,458
60,200,455
61,200,454
62,200,452
63,200,446
64,200,444
65,200,440
66,200,437
67,200,434
68,200,432
69,200,430
70,200,426
71,200,422
72,200,420
73,200,416
74,200,416
75,200,411
76,200,409
77,200,407
78,200,405
79,200,401
80,200,398
81,200,400
82,200,398
83,200,396
84,200,395
85,200,396
86,200,392
87,200,390
88,200,388
89,200,389
90,200,387
91,200,385
92,200,384
93,200,384
94,200,380
95,200,381
96,200,379
97,200,376
98,200,374
99,200,374
100,200,373
101,200,371
102,200,370
103,200,368
104,200,365
105,200,361
106,200,358
107,200,353
108,200,350
109,200,345
110,200,344
111,200,339
112,200,337
113,200,332
114,200,328
115,200,325
116,200,322
117,200,318
118,200,315
119,200,312
120,200,310
121,200,307
122,200,303
123,200,300
124,200,297
125,200,295
126,200,293
127,200,290
128,200,288
129,200,288
130,200,286
131,200,285
132,200,284
133,200,284
134,200,283
135,200,280
136,200,279
137,200,278
138,200,276
139,200,274
140,200,272
141,200,264
142,200,260
143,200,259
144,200,259
145,200,253
146,200,260
147,200,261
148,200,263
149,200,264
150,200,266
151,200,264
152,200,267
153,200,269
154,200,270
155,200,271
156,200,273
157,200,275
158,200,277
159,200,280
160,200,281
161,200,282
162,200,284
163,200,286
164,200,287
165,200,289
166,200,291
167,200,293
168,200,294
169,200,296
170,200,299
171,200,301
172,200,303
173,200,305
174,200,306
175,200,309
176,200,312
177,200,313
178,200,317
179,200,319
180,200,321
181,200,323
182,200,326
183,200,327
184,200,328
185,200,331
186,200,335
187,200,337
188,200,339
189,200,341
190,200,343
191,200,347
192,200,350
193,200,353
194,200,355
195,200,357
196,200,360
197,200,362
198,200,366
199,200,365
200,200,369
201,200,369
202,200,369
203,200,371
204,200,371
205,200,375
206,200,375
207,200,377
208,200,378
209,200,379
210,200,378
211,200,380
212,200,381
213,200,382
214,200,385
215,200,385
216,200,387
217,200,389
218,200,389
219,200,389
220,200,388
221,200,382
222,200,391
223,200,394
224,200,396
225,200,399
226,200,399
227,200,401
228,200,400
229,200,404
230,200,405
231,200,409
232,200,410
233,200,410
234,200,413
235,200,412
236,200,414
237,200,415
238,200,416
239,200,420
240,200,421
241,200,424
242,200,424
243,200,425
244,200,428
245,200,429
246,200,428
247,200,433
248,200,429
249,200,427
250,200,427
251,200,424
252,200,422
253,200,422
254,200,420
255,200,416
256,200,415
257,200,415
258,200,413
259,200,412
260,200,408
261,200,407
262,200,404
263,200,404
264,200,403
265,200,403
266,200,400
267,200,398
268,200,395
269,200,394
270,200,392
271,200,389
272,200,392
273,200,393
274,200,393
275,200,394
276,200,396
277,200,398
278,200,400
279,200,402
280,200,403
281,200,402
282,200,403
283,200,405
284,200,406
285,200,407
286,200,408
287,200,410
288,200,412
289,200,412
290,200,414
291,200,413
292,200,414
293,200,417
294,200,420
295,200,418
296,200,418
297,200,418
298,200,422
299,200,421
300,200,420
301,200,422
302,200,420
303,200,420
304,200,422
305,200,422
306,200,422
307,200,423
308,200,422
309,200,422
310,200,421
311,200,423
312,200,420
313,200,420
314,200,420
315,200,418
316,200,422
317,200,423
318,200,422
319,200,421
320,200,423
321,200,424
322,200,422
323,200,423
324,200,423
325,200,421
326,200,420
327,200,424
328,200,419
329,200,419
330,200,418
331,200,415
332,200,414
333,200,416
334,200,413
335,200,412
336,200,414
337,200,411
338,200,412
339,200,409
340,200,407
341,200,406
342,200,405
343,200,407
344,200,407
345,200,408
346,200,408
347,200,408
348,200,410
349,200,408
350,200,408
351,200,408
352,200,405
353,200,408
354,200,405
355,200,407
356,200,407
357,200,403
358,200,405
359,200,404
360,200,404
361,200,404
362,200,403
363,200,403
364,200,404
365,200,404
366,200,403
367,200,403
368,200,402
369,200,404
370,200,403
371,200,405
372,200,404
373,200,404
374,200,407
375,200,406
376,200,407
377,200,407
378,200,406
379,200,409
380,200,407
381,200,407
382,200,408
383,200,409
384,200,408
385,200,407
386,200,407
387,200,409
388,200,410
389,200,409
390,200,408
391,200,410
392,200,409
393,200,407
394,200,403
395,200,401
396,200,399
397,200,398
398,200,394
399,200,393
400,200,391
401,200,387
402,200,384
403,200,380
404,200,378
405,200,375
406,200,374
407,200,371
408,200,368
409,200,368
410,200,364
411,200,363
412,200,362
413,200,358
414,200,356
415,200,353
416,200,354
417,200,357
418,200,358
419,200,361
420,200,363
421,200,367
422,200,367
423,200,368
424,200,369
425,200,369
426,200,371
427,200,373
428,200,373
429,200,376
430,200,379
431,200,377
432,200,380
433,200,380
434,200,383
435,200,385
436,200,385
437,200,386
438,200,387
439,200,389
440,200,390
441,200,394
442,200,395
443,200,397
444,200,399
445,200,403
446,200,404
447,200,407
448,200,406
449,200,410
450,200,406
451,200,411
452,200,409
453,200,409
454,200,411
455,200,413
456,200,414
457,200,416
458,200,415
459,200,418
460,200,421
461,200,421
462,200,423
463,200,421
464,200,424
465,200,427
466,200,425
467,200,429
468,200,431
469,200,431
470,200,428
471,200,430
472,200,432
473,200,433
474,200,432
475,200,432
476,200,434
477,200,435
478,200,435
479,200,435
480,200,438
481,200,439
482,200,436
483,200,439
484,200,439
485,200,441
486,200,441
487,200,441
488,200,442
489,200,442
490,200,445
491,200,443
492,200,445
493,200,445
494,200,447
495,200,448
496,200,450
497,200,448
498,200,451
499,200,449
500,200,450
501,200,454
502,200,453
503,200,453
504,200,455
505,200,454
506,200,455
507,200,457
508,200,458
509,200,456
510,200,455
511,200,456
512,200,453
513,200,452
514,200,449
515,200,449
516,200,447
517,200,444
518,200,442
519,200,439
520,200,438
521,200,434
522,200,434
523,200,429
524,200,426
525,200,426
526,200,425
527,200,422
528,200,419
529,200,416
530,200,415
531,200,413
532,200,409
533,200,410
534,200,407
535,200,405
536,200,406
537,200,410
538,200,414
539,200,420
540,200,422
541,200,426
542,200,426
543,200,428
544,200,431
545,200,435
546,200,436
547,200,440
548,200,445
549,200,447
550,200,450
551,200,451
552,200,456
553,200,461
554,200,462
555,200,469
556,200,470
557,200,473
558,200,477
559,200,479
560,200,486
561,200,490
562,200,499
563,200,502
564,200,511
565,200,517
566,200,521
567,200,527
568,200,531
569,200,537
570,200,545
571,200,553
572,200,556
573,200,565
574,200,570
575,200,573
576,200,584
577,200,585
578,200,595
579,200,597
580,200,604
581,200,614
582,200,620
583,200,626
584,200,627
585,200,619
586,200,617
587,200,613
588,200,611
589,200,609
590,200,605
591,200,601
592,200,593
593,200,587
594,200,580
595,200,573
596,200,568
597,200,563
598,200,557
599,200,554
600,200,549
601,200,544
602,200,537
603,200,529
604,200,527
605,200,523
606,200,515
607,200,514
608,200,511
609,200,506
610,200,505
611,200,501
612,200,500
613,200,504
614,200,499
615,200,497
616,200,492
617,200,487
618,200,481
619,200,474
620,200,469
621,200,467
622,200,464
623,200,460
624,200,456
625,200,455
626,200,452
627,200,446
628,200,443
629,200,445
630,200,441
631,200,438
632,200,437
633,200,439
634,200,441
635,200,443
636,200,446
637,200,446
638,200,450
639,200,450
640,200,453
641,200,455
642,200,454
643,200,455
644,200,461
645,200,462
646,200,462
647,200,465
648,200,467
649,200,466
650,200,469
651,200,472
652,200,473
653,200,474
654,200,477
655,200,477
656,200,479
657,200,479
658,200,479
659,200,483
660,200,479
661,200,485
662,200,482
663,200,483
664,200,481
665,200,484
666,200,483
667,200,486
668,200,483
669,200,484
670,200,485
671,200,480
672,200,473
673,200,480
674,200,483
675,200,482
676,200,463
677,200,482
678,200,484
679,200,487
680,200,485
681,200,481
682,200,486
683,200,482
684,200,480
685,200,481
686,200,480
687,200,478
688,200,475
689,200,470
690,200,463
691,200,461
692,200,457
693,200,457
694,200,453
695,200,455
696,200,451
697,200,451
698,200,447
699,200,446
700,200,444
701,200,439
702,200,437
703,200,434
704,200,433
705,200,432
706,200,429
707,200,428
708,200,427
709,200,426
710,200,428
711,200,424
712,200,423
713,200,421
714,200,419
715,200,415
716,200,412
717,200,409
718,200,407
719,200,407
720,200,403
721,200,404
722,200,402
723,200,399
724,200,399
725,200,396
726,200,394
727,200,393
728,200,390
729,200,390
730,200,388
731,200,388
732,200,387
733,200,387
734,200,387
735,200,384
736,200,385
737,200,383
738,200,382
739,200,381
740,200,382
741,200,380
742,200,380
743,200,377
744,200,377
745,200,381
746,200,377
747,200,372
748,200,364
749,200,368
750,200,376
751,200,374
752,200,372
753,200,371
754,200,369
755,200,367
756,200,366
757,200,363
758,200,361
759,200,357
760,200,356
761,200,354
762,200,351
763,200,351
764,200,348
765,200,347
766,200,344
767,200,344
768,200,342
769,200,338
770,200,336
771,200,335
772,200,332
773,200,331
774,200,329
775,200,326
776,200,321
777,200,320
778,200,315
779,200,314
780,200,309
781,200,306
782,200,305
783,200,299
784,200,296
785,200,293
786,200,289
787,200,286
788,200,282
789,200,279
790,200,276
791,200,272
792,200,270
793,200,267
794,200,265
795,200,263
796,200,261
797,200,258
798,200,256
799,200,252
800,200,255
801,200,256
802,200,260
803,200,261
804,200,264
805,200,266
806,200,267
807,200,270
808,200,272
809,200,274
810,200,276
811,200,279
812,200,281
813,200,283
814,200,287
815,200,289
816,200,293
817,200,296
818,200,299
819,200,302
820,200,306
821,200,302
822,200,309
823,200,314
824,200,317
825,200,318
826,200,320
827,200,323
828,200,326
829,200,329
830,200,330
831,200,332
832,200,332
833,200,333
834,200,333
835,200,333
836,200,333
837,200,335
838,200,334
839,200,334
840,200,337
841,200,337
842,200,339
843,200,342
844,200,344
845,200,344
846,200,346
847,200,347
848,200,348
849,200,352
850,200,352
851,200,355
852,200,356
853,200,357
854,200,356
855,200,358
856,200,360
857,200,358
858,200,361
859,200,361
860,200,362
861,200,362
862,200,365
863,200,366
864,200,366
865,200,368
866,200,371
867,200,371
868,200,373
869,200,373
870,200,372
871,200,375
872,200,373
873,200,375
874,200,376
875,200,378
876,200,375
877,200,377
878,200,377
879,200,378
880,200,376
881,200,371
882,200,369
883,200,368
884,200,365
885,200,364
886,200,362
887,200,362
888,200,361
889,200,358
890,200,358
891,200,357
892,200,356
893,200,355
894,200,354
895,200,352
896,200,353
897,200,353
898,200,352
899,200,355
900,200,354
901,200,354
902,200,354
903,200,353
904,200,352
905,200,349
906,200,350
907,200,348
908,200,348
909,200,347
910,200,346
911,200,346
912,200,346
913,200,345
914,200,346
915,200,346
916,200,344
917,200,345
918,200,345
919,200,343
920,200,344
921,200,345
922,200,345
923,200,348
924,200,350
925,200,351
926,200,350
927,200,352
928,200,351
929,200,350
930,200,351
931,200,350
932,200,351
933,200,353
934,200,352
935,200,353
936,200,355
937,200,356
938,200,357
939,200,356
940,200,357
941,200,357
942,200,356
943,200,358
944,200,357
945,200,358
946,200,356
947,200,358
948,200,357
949,200,356
950,200,356
951,200,355
952,200,353
953,200,352
954,200,347
955,200,345
956,200,346
957,200,342
958,200,343
959,200,340
960,200,337
961,200,336
962,200,335
963,200,335
964,200,333
965,200,331
966,200,331
967,200,327
968,200,331
969,200,333
970,200,333
971,200,336
972,200,339
973,200,338
974,200,341
975,200,343
976,200,344
977,200,344
978,200,345
979,200,346
980,200,347
981,200,347
982,200,349
983,200,350
984,200,351
985,200,355
986,200,354
987,200,356
988,200,357
989,200,358
990,200,359
991,200,360
992,200,365
993,200,368
994,200,372
995,200,374
996,200,378
997,200,378
998,200,383
999,200,386
1000,200,388
1001,200,390
1002,200,393
1003,200,395
1004,200,397
1005,200,402
1006,200,401
1007,200,409
1008,200,410
1009,200,414
1010,200,418
1011,200,421
1012,200,425
1013,200,426
1014,200,430
1015,200,429
1016,200,428
1017,200,430
1018,200,430
1019,200,431
1020,200,429
1021,200,430
1022,200,431
1023,200,427
1024,200,427
1025,200,419
1026,200,419
1027,200,415
1028,200,412
1029,200,412
1030,200,407
1031,200,404
1032,200,404
1033,200,401
1034,200,402
1035,200,400
1036,200,397
1037,200,396
1038,200,392
1039,200,392
1040,200,392
1041,200,394
1042,200,396
1043,200,397
1044,200,398
1045,200,401
1046,200,402
1047,200,405
1048,200,404
1049,200,404
1050,200,404
1051,200,405
1052,200,404
1053,200,405
1054,200,406
1055,200,405
1056,200,408
1057,200,406
1058,200,407
1059,200,408
1060,200,409
1061,200,411
1062,200,411
1063,200,414
1064,200,412
1065,200,410
1066,200,411
1067,200,411
1068,200,411
1069,200,413
1070,200,410
1071,200,407
1072,200,406
1073,200,399
1074,200,398
1075,200,393
1076,200,390
1077,200,391
1078,200,388
1079,200,385
1080,200,383
1081,200,379
1082,200,377
1083,200,374
1084,200,373
1085,200,373
1086,200,371
1087,200,370
1088,200,370
1089,200,373
1090,200,375
1091,200,378
1092,200,381
1093,200,384
1094,200,382
1095,200,385
1096,200,389
1097,200,388
1098,200,391
1099,200,391
1100,200,391
1101,200,394
1102,200,394
1103,200,395
1104,200,397
1105,200,397
1106,200,402
1107,200,403
1108,200,405
1109,200,404
1110,200,405
1111,200,408
1112,200,411
1113,200,413
1114,200,417
1115,200,419
1116,200,423
1117,200,426
1118,200,426
1119,200,431
1120,200,434
1121,200,435
1122,200,437
1123,200,439
1124,200,442
1125,200,446
1126,200,448
1127,200,450
1128,200,452
1129,200,455
1130,200,458
1131,200,464
1132,200,465
1133,200,465
1134,200,470
1135,200,475
1136,200,475
1137,200,475
1138,200,479
1139,200,478
1140,200,481
1141,200,482
1142,200,486
1143,200,486
1144,200,489
1145,200,486
1146,200,487
1147,200,488
1148,200,491
1149,200,492
1150,200,491
1151,200,490
1152,200,491
1153,200,491
1154,200,495
1155,200,495
1156,200,496
1157,200,498
1158,200,501
1159,200,501
1160,200,495
1161,200,492
1162,200,492
1163,200,491
1164,200,492
1165,200,491
1166,200,489
1167,200,487
1168,200,485
1169,200,477
1170,200,473
1171,200,468
1172,200,465
1173,200,461
1174,200,458
1175,200,453
1176,200,451
1177,200,447
1178,200,443
1179,200,441
1180,200,437
1181,200,437
1182,200,434
1183,200,431
1184,200,435
1185,200,438
1186,200,439
1187,200,445
1188,200,449
1189,200,455
1190,200,456
1191,200,460
1192,200,462
1193,200,462
1194,200,463
1195,200,465
1196,200,464
1197,200,466
1198,200,465
1199,200,468
1200,200,471
1201,200,473
1202,200,475
1203,200,480
1204,200,481
1205,200,486
1206,200,485
1207,200,486
1208,200,491
1209,200,496
1210,200,503
1211,200,509
