time (s)	Ta,e	Teq,e	Teq,i	pa,e	pa,i	gl (kg/m2s)
0.0	10.0	10.0	20.0	1150.0	1085.0	0.0000
3600.0	10.0	10.0	20.0	1150.0	1085.0	0.0000
7200.0	10.0	10.0	20.0	1150.0	1235.0	0.0000
10800.0	10.0	10.0	20.0	1150.0	1385.0	0.0000
14400.0	10.0	10.0	20.0	1150.0	1535.0	0.0000
18000.0	10.0	10.0	20.0	1150.0	1685.0	0.0000
21600.0	10.0	10.0	20.0	1150.0	1835.0	0.0000
25200.0	10.0	-2.0	20.0	1150.0	1985.0	0.0000
28800.0	10.0	-2.0	20.0	1150.0	2135.0	0.0000
32400.0	10.0	-2.0	20.0	1150.0	2285.0	0.0000
36000.0	10.0	-2.0	20.0	1150.0	2285.0	0.0000
39600.0	10.0	-2.0	20.0	1150.0	2285.0	0.0000
43200.0	10.0	-2.0	20.0	1150.0	2285.0	0.0000
46800.0	10.0	-2.0	20.0	1150.0	2285.0	0.0000
50400.0	10.0	-2.0	20.0	1150.0	2285.0	0.0000
54000.0	10.0	-2.0	20.0	1150.0	2285.0	0.0000
57600.0	10.0	-2.0	20.0	1150.0	2285.0	0.0000
61200.0	10.0	-2.0	20.0	1150.0	2285.0	0.0000
64800.0	10.0	-2.0	20.0	1150.0	2285.0	0.0000
68400.0	10.0	-2.0	20.0	1150.0	2285.0	0.0000
72000.0	10.0	-2.0	20.0	1150.0	2285.0	0.0000
75600.0	10.0	-2.0	20.0	1150.0	2285.0	0.0000
79200.0	10.0	-2.0	20.0	1150.0	2285.0	0.0000
82800.0	10.0	10.0	20.0	1150.0	2285.0	0.0000
86400.0	10.0	10.0	20.0	1150.0	2285.0	0.0000
90000.0	10.0	10.0	20.0	1150.0	2285.0	0.0000
93600.0	10.0	10.0	20.0	1150.0	2285.0	0.0000
97200.0	10.0	10.0	20.0	1150.0	2285.0	0.0000
100800.0	10.0	10.0	20.0	1150.0	2285.0	0.0000
104400.0	10.0	10.0	20.0	1150.0	2285.0	0.0000
108000.0	10.0	10.0	20.0	1150.0	2285.0	0.0000
111600.0	10.0	10.0	20.0	1150.0	2285.0	0.0000
115200.0	10.0	10.0	20.0	1150.0	2285.0	0.0000
118800.0	10.0	10.0	20.0	1150.0	2285.0	0.0000
122400.0	10.0	10.0	20.0	1150.0	2285.0	0.0000
126000.0	10.0	10.0	20.0	1150.0	2285.0	0.0000
129600.0	10.0	10.0	20.0	1150.0	2285.0	0.0000
133200.0	10.0	10.0	20.0	1150.0	2285.0	0.0000
136800.0	10.0	10.0	20.0	1150.0	2285.0	0.0000
140400.0	10.0	10.0	20.0	1150.0	2285.0	0.0000
144000.0	10.0	10.0	20.0	1150.0	2285.0	0.0000
147600.0	10.0	10.0	20.0	1150.0	2285.0	0.0000
151200.0	10.0	10.0	20.0	1150.0	2135.0	0.0000
154800.0	10.0	10.0	20.0	1150.0	1985.0	0.0000
158400.0	10.0	10.0	20.0	1150.0	1835.0	0.0000
162000.0	10.0	10.0	20.0	1150.0	1685.0	0.0000
165600.0	10.0	10.0	20.0	1150.0	1535.0	0.0000
169200.0	10.0	10.0	20.0	1150.0	1385.0	0.0000
172800.0	10.0	10.0	20.0	1150.0	1235.0	0.0000
176400.0	10.0	10.0	20.0	1150.0	1085.0	0.0000
180000.0	10.0	10.0	20.0	1150.0	935.0	0.0005
183600.0	10.0	10.0	20.0	1150.0	935.0	0.0005
187200.0	10.0	10.0	20.0	1150.0	935.0	0.0005
190800.0	10.0	10.0	20.0	1150.0	935.0	0.0005
194400.0	10.0	10.0	20.0	1150.0	935.0	0.0005
198000.0	10.0	10.0	20.0	1150.0	935.0	0.0005
201600.0	10.0	10.0	20.0	1150.0	935.0	0.0000
205200.0	10.0	10.0	20.0	1150.0	935.0	0.0000
208800.0	10.0	10.0	20.0	1150.0	935.0	0.0000
212400.0	10.0	10.0	20.0	1150.0	935.0	0.0000
216000.0	10.0	10.0	20.0	1150.0	935.0	0.0000
219600.0	10.0	10.0	20.0	1150.0	935.0	0.0000
223200.0	10.0	10.0	20.0	1150.0	935.0	0.0000
226800.0	10.0	10.0	20.0	1150.0	935.0	0.0007
230400.0	10.0	10.0	20.0	1150.0	935.0	0.0007
234000.0	10.0	10.0	20.0	1150.0	935.0	0.0007
237600.0	10.0	10.0	20.0	1150.0	935.0	0.0007
241200.0	10.0	10.0	20.0	1150.0	935.0	0.0000
244800.0	10.0	10.0	20.0	1150.0	935.0	0.0000
248400.0	10.0	10.0	20.0	1150.0	935.0	0.0000
252000.0	10.0	10.0	20.0	1150.0	935.0	0.0000
255600.0	10.0	10.0	20.0	1150.0	935.0	0.0000
259200.0	10.0	10.0	20.0	1150.0	935.0	0.0000
262800.0	10.0	50.0	20.0	1150.0	935.0	0.0000
266400.0	10.0	50.0	20.0	1150.0	935.0	0.0000
270000.0	10.0	50.0	20.0	1150.0	935.0	0.0000
273600.0	10.0	50.0	20.0	1150.0	935.0	0.0000
277200.0	10.0	50.0	20.0	1150.0	935.0	0.0000
280800.0	10.0	50.0	20.0	1150.0	935.0	0.0000
284400.0	10.0	50.0	20.0	1150.0	935.0	0.0000
288000.0	10.0	10.0	20.0	1150.0	935.0	0.0000
291600.0	10.0	10.0	20.0	1150.0	935.0	0.0000
