log(Psuc)	log(K)
12	-27
9.16184696	-27.32
9.04184696	-27.64
8.92184696	-27.96
8.80184696	-28.28
8.68184696	-28.6
8.56184696	-28.92
8.44184696	-29.24
8.32184696	-29.56
8.20184696	-29.88
8.08184696	-30.2
7.96184696	-30.52
7.84184696	-30.84
7.72184696	-31.16
7.60184696	-31.48
7.48184696	-16.02314218
7.36184696	-15.80537097
7.24184696	-15.53780407
7.12184696	-15.34007327
7.00184696	-15.15797775
6.88184696	-14.73604922
6.76184696	-14.41224594
6.64184696	-14.10417193
6.52184696	-13.83399581
6.40184696	-13.51572314
6.28184696	-13.21407102
6.16184696	-13.00242575
6.04184696	-12.70786679
5.92184696	-12.55777242
5.80184696	-12.46363481
5.68184696	-12.39405661
5.56184696	-12.26136355
5.44184696	-12.09588942
5.32184696	-12.00081456
5.20184696	-11.95855648
5.08184696	-11.88446026
4.96184696	-11.77298037
4.84184696	-11.13719525
4.72184696	-10.14654938
4.60184696	-9.37365288
4.48184696	-8.92297423
4.36184696	-8.78646748
4.24184696	-8.7214439
4.12184696	-8.7214439
4.00184696	-8.7214439
3.88184696	-8.71974955
3.76184696	-8.71974955
3.64184696	-8.71974955
3.52184696	-8.71974955
3.40184696	-8.71974955
3.28184696	-8.71974955
1	-8.71974955
